;DS_P12A_1;DS_P12B_1;DS_P12C_1;ciuo_cod;ciuo_cod2
1171;a cargo de lavanderi≠a;entrega la ropa;lleva ropa;8157;81
2;NA;NA;NA;NA;NA
1234;aasistente de abogado;llevar documentos a loa juzgados;abogado;;33
211;actualmente no esta trabajando;chofer con licencia profesional;NA;;
5;NA;NA;NA;NA;NA
6;NA;NA;NA;NA;NA
1338;adm7nustracion de dovumentp;adminidtrar ypresta servicio;NA;;
8;NA;NA;NA;NA;NA
822;administativa;atender publico;colegio;;
495;administracion;administrativa;publicado ca;;
579;administracion;encargada de los transportistas en su carga;comercio;;
622;administracion;administracion;NA;;
796;administracion;supervisar;administracion de propiedades;;
956;administracion;asistente;escuela;;
973;administracion;administrar un negocio de arriendo de equipos de oficinas;servicios logisticos;;
496;administracion  de  lavanderi≠a;cobro de servicios;lavado de ropa;;52
17;NA;NA;NA;NA;NA
18;NA;NA;NA;NA;NA
346;administracion de colegio;revisar libros ver que estuviera todo para la alimentacion presentacion de los profesores;educacion;;
20;NA;NA;NA;NA;NA
302;administrador;administrador;fundo;;
939;administradora de hotel;ad inistracion;hotel;;
23;NA;NA;NA;NA;NA
24;NA;NA;NA;NA;NA
25;NA;NA;NA;NA;NA
1027;administrar mi empresa;administrar mi empresa;desarrollo de sistemas;;
912;administrar restorante;administrar;alimentos;;
886;administrar una clinica dental;dueÒa;clinica dental;;
229;administrativa;estadisticas;area salud;;
338;administrativa;administracion;mantencion industrial;;
852;administrativa;atencion de publico;consultorio medico;;
1273;administrativa;administrativa;retail;;
33;NA;NA;NA;NA;NA
1341;administrativa;recursos humanos;corporacion educacional;;
107;administrativa hospital;estadi≠stica de hospitalizacion;salud;;
62;administrativo;administrativo;colectivos;;
710;administrativo;monitor de patrimonio;colegio;;
1150;administrativo;NA;NA;;
1183;administrativo;ver archivos, ordenar cuentas;mari≠timo comercio;;
1206;administrativo;trabajoa de oficina;NA;;
1230;administrativo;administrativo;NA;;
42;NA;NA;NA;NA;NA
43;NA;NA;NA;NA;NA
44;NA;NA;NA;NA;NA
45;NA;NA;NA;NA;NA
46;NA;NA;NA;NA;NA
47;NA;NA;NA;NA;NA
1250;administrativo;administrativo;NA;;
49;NA;NA;NA;NA;NA
50;NA;NA;NA;NA;NA
51;NA;NA;NA;NA;NA
1317;administrativo;administrativa;administrativo;;
1348;administrativo;administrar y coordinar y supervisar;veo la parte administrativa en la parte contable;;
577;administrativo de oficina;trabajo administrativo;tienda;;
55;NA;NA;NA;NA;NA
1218;administratuvo;srvicio al cliente;NA;;
57;NA;NA;NA;NA;NA
605;adnibutraxiin;cudar resinti de arriendi en inmibiliaria;NA;;
59;NA;NA;NA;NA;NA
749;aeronautica monitor vuelos;monitor de vuelos;aeronautica monitor de vuelos;;
61;NA;NA;NA;NA;NA
158;agencia de habitacional;evaluar creditos hipotecarios;prestar servicios de creditos hipotecarios;;
385;agri≠cola;cortar uva ,cosechar uva , embalaje;exportaciones  de fruta;;61
333;agricola regador;regador de empresa agricola;empresa agricola exportadora de uva naranjas y mandarinas;;61
568;agriculor;trabajar s tierra;siembra y trabajar la tierra;;61
574;agricultor;sembrar la tierra;agricultura;;61
715;agricultor;sembrar;campo;;61
1016;agricultor;campo;parcels;;61
548;agricultor  siembras  y  cosecha de trigo;cosechar , envasar , guardar trigo;venta cereales;;61
58;agricultura;NA;NA;;61
238;agricultura;siembra cereales;trigo y avena;;61
501;agricultura;preparacion de tierra  para siembras;cereales;;61
875;agricultura;campo;fundo;;61
74;NA;NA;NA;NA;NA
1024;agricultura;siembra casecha y crianza animales de corral;agricultura de subsistencia;;61
76;NA;NA;NA;NA;NA
1095;agricultura;parcela;parcela;;61
78;NA;NA;NA;NA;NA
79;NA;NA;NA;NA;NA
506;agro fruti≠cola;cosecha de frutas;ventas de frutas y cereales;;
119;albaÒil;hacer hormigon ceramica;empresa constructora vivirndas;7112;71
1310;albaÒil;estudiar,hacer radieles;empresa constructora;7112;71
497;albaÒileria;nivelacion de pisos y reparacion de muros;construyen casa es constructora;7112;71
1223;almacen vents;atender y adminidtrar negovio;vender abarrote;;
31;analista de control de calidad;NA;NA;;
86;NA;NA;NA;NA;NA
105;analista medico;cargar programa isapre;salud;;
863;aramador;caÒonera;producto de slimento;;
1226;area comervio feria;venta de ptoductocomercio;venta;;
949;armaxon de marcos;atencin publivo;marqueria;;
964;arquitecto;inspeccion de obras;construccion;;
1026;arquitecto;NA;NA;;
1151;arquitectura y construccion;dueÒa y supervisora del diseÒo, supervicion de obra y control;construccion;;
94;NA;NA;NA;NA;NA
474;arreglos electricos;arreglar cosas electricas;NA;;
953;arrienda piezas;NA;NA;;
7;artezano;artesano en maderas;artesani≠a;;
785;aseadora;barrer, sacudir;NA;;
819;aseadora;limpiar;cacino pucon;;
1032;aseadora;limpiar, ordenar;NA;;
4;aseo;aseo;asesora de hogar;9111;91
70;aseo;NA;NA;9112;91
109;aseo;aseo;oficina de contabilidad;9112;91
104;NA;NA;NA;NA;NA
136;aseo;limpiar;restaurante;9112;91
106;NA;NA;NA;NA;NA
188;aseo;aseo copera;NA;9112;91
226;aseo;aseo;empresa aseo;9112;91
324;aseo;limpiar hogares;casa particular;9111;91
404;aseo;limpieza general en 8ficinas;construccion;9112;91
609;aseo;prestar ayuda a la personas en el area de salud;sanar enfermedades;9112;91
707;aseo;aseo limpiar;NA;9112;91
741;aseo;aseo;en diferentes partes;9112;91
746;aseo;botar la basura , limpiar;fabrica de tomates;9112;91
115;NA;NA;NA;NA;NA
1098;aseo;asesora;monasterio;9112;91
1115;aseo;aseo;jardi≠n infantil fantil;9112;91
1165;aseo;aseo;exportacion de ostion;9112;91
1182;aseo;asesora;casa particular;9111;91
1368;aseo;aseo;limpieza;9112;91
1227;aseo de casa;limpiar casa;limpiesa de casapsrticular;9111;91
1124;aseo de la vestimenta;lavar uniformes de los cocineros;alimentacion;9121;91
382;aseo en colegio;hacer aseo;peluqueri≠a;9112;91
1219;aseo en empresas;aseo;aseo;9112;91
747;aseo industrial;limpieza en el lider;servicios;9112;91
299;aseo y ornato;ornato y mantener limpio;aseo y ornato;9112;91
481;aseo y venta de cachureos;aseo;aseo independiente;9112;91
484;aseo,planchado;planchas y aseo casa particular;casa particular;9112;91
549;asesiea higar;aseo;aseo xasa;9111;91
1117;asesoea;aseo;NA;9111;91
131;NA;NA;NA;NA;NA
133;asesora;aseo de casas;casa particular;9111;91
727;asesora;asesora;hogar;9111;91
799;asesora;aseo;casa particular;9111;91
1149;asesora;aseo;asesora;9111;91
945;asesora  hogar;quehaceres de hogar;lacado , planchado;9111;91
40;asesora de hogar;aseo;NA;9111;91
294;asesora de hogar;cuidado adulto enferma y cosas del hogar;casa particular;9111;91
403;asesora de hogar;planchar , cocinar , hacer aseo , cuidados del hogar;casa particular;9111;91
140;NA;NA;NA;NA;NA
467;asesora de hogar;aseo y cuidado de niÒos;casa particular;9111;91
142;NA;NA;NA;NA;NA
492;asesora de hogar;aseo;NA;9111;91
504;asesora de hogar;lavar, planchar, cocinar;casa particular;9111;91
145;NA;NA;NA;NA;NA
545;asesora de hogar;quehaceres del hogar;casa particular;9111;91
546;asesora de hogar;limpiar , planchar , cocinar ,;casa particular;9111;91
558;asesora de hogar;lavar , planchar ,  cocinar;casa paticular;9111;91
640;asesora de hogar;aseo y cuidar niÒos;casa particular;9111;91
712;asesora de hogar;quehaceres del hogar;hogar particular;9111;91
151;NA;NA;NA;NA;NA
874;asesora de hogar;nana;casa particular;9111;91
887;asesora de hogar;hacia aseo;NA;9111;91
1078;asesora de hogar;cocinar limpisr;hogar casa particular;9111;91
1294;asesora de hogar;asesora de hogar;casa particular;9111;91
1315;asesora de hogar;asesora de hogar;asesora de hogar;9111;91
1340;asesora de hogar;NA;NA;9111;91
11;asesora del hogar;asesora del hogar;casa particular;9111;91
99;asesora del hogar;labores de casa;aseo;9111;91
120;asesora del hogar;limpieza;hogar particular;9111;91
138;asesora del hogar;labores domesticas;casa particular;9111;91
155;asesora del hogar;asesora el hogar;casas;9111;91
251;asesora del hogar;preocupada de aseo;NA;9111;91
164;NA;NA;NA;NA;NA
478;asesora del hogar;aseo;casa paticular;9111;91
480;asesora del hogar;aseo;casa particular;9111;91
498;asesora del hogar;aseo en hogar;servicios;9111;91
591;asesora del hogar;asesora hogsr;aseo;9111;91
169;NA;NA;NA;NA;NA
170;NA;NA;NA;NA;NA
667;asesora del hogar;aseo cuidar enfermo;casa particular;9111;91
721;asesora del hogar;planchar ,lavar,limpiar la casa cocinar;casa particular;9111;91
173;NA;NA;NA;NA;NA
773;asesora del hogar;limpieza;casa particular;9111;91
786;asesora del hogar;asesora del hogar;casa particular;9111;91
808;asesora del hogar;cuidaba niÒos, aseo en el hogar;casa particular;9111;91
177;NA;NA;NA;NA;NA
178;NA;NA;NA;NA;NA
823;asesora del hogar;todo lo q se hace en una casa;casa particular;9111;91
1051;asesora del hogar;labores domesticas;casa particular;9111;91
181;NA;NA;NA;NA;NA
1077;asesora del hogar;asesora de hogar;NA;9111;91
183;NA;NA;NA;NA;NA
184;NA;NA;NA;NA;NA
185;NA;NA;NA;NA;NA
186;NA;NA;NA;NA;NA
1083;asesora del hogar;hacer aseo en casas particulares;NA;9111;91
1089;asesora del hogar;limpiar cocinar;casa particular;9111;91
1164;asesora del hogar;hacer aseo en una vivienda;hacer aseo;9111;91
1176;asesora del hogar;lavar cocinar limpiar;casa particular;9111;91
191;NA;NA;NA;NA;NA
1235;asesora del hogar;NA;NA;9111;91
1300;asesora del hogar;hacer aseo;NA;9111;91
194;NA;NA;NA;NA;NA
1365;asesora del hogar;que haseres de una casa;NA;9111;91
1251;asesora delmhogar;aseo;NA;9111;91
197;NA;NA;NA;NA;NA
383;asesora hogar;cocinar y limpiar;casa particular;9111;91
614;asesora hogar;limpieza de casa;casa particular;9111;91
804;asesora hogar;aseo y limpiaza;casa particular;9111;91
940;asesoras hogar;quehaceres;casa particular;9111;91
851;asesori≠a minero;asesoria;asesori≠a minera consultora;;
1107;asistente administrativo;trabajo administrativo;inmobiliaria;;
610;asistente administrativo general;control de compras atender de clientes;arriendo de maquinarias agricola;;
820;asistente de aseo;limpiar jardin;jardin particular;9112;91
737;asistente de director regiobal;secretaria tecnic;ministerio de obraas publicas;;
488;asistente de educacion;enseÒsr;colegio;;
589;asistente de educacion;recursos operativo;educar;;
951;asistente de educacion;cuidado  de noÒos  en recreo;colegio particular subvenvionado;;
210;NA;NA;NA;NA;NA
1266;asistente de enfermos;trabajo en la parte de enfermetia y cuidar a los enfermos y adiultos;convento las hermanas de maria;;
844;asistente de parvulos;estimulacion de niÒos;jardi≠n infantil;;
750;asistente de peluqueri≠a;lavavajillas el pelo limpiar ordenar;estetica;;
214;NA;NA;NA;NA;NA
807;asistente judicial;redaccion de documentos;bufete de abogados;;
935;asistente parvulo;asistente;colegio;;
1030;asistente pi∫blico;asisti≠a al pi∫blico que llegaba a la oficina, orientacion;asistencia social;;
121;asistente social;trabajo comunitario;niÒos vulnerables;;
336;asistente social;trabajadora social;municipalidad;;
858;asistente social;educaxion;nilos vulnerables;;
221;NA;NA;NA;NA;NA
222;NA;NA;NA;NA;NA
883;atencion al cliente;atencion cliente;casino pucon;;
1158;atencion de pi∫blico tienda de riteil;atencion de pi∫blico,atender a las necesidades de los clientes;multitienda venta de ropa, vestuarios, electrodomesticos de todo;;
672;atencion de publico;cobrar;estudio fotografico;;
674;atender publico;vender carne;atender la carnuceria de unimarc;;
400;atiende negocio;atender a la gente y vender;NA;;
228;NA;NA;NA;NA;NA
1028;atiende negocio;organizo, vende en ferreteria;venta de fierros y toda indole de material;;
526;atiendo una fruteria;reponer la fruta, y verduras  mantener limpio el lugar,llevar la mercaderi≠a a los clientes a los autos  y acompaÒar a la vega monumental al jefe para  cargar la mercaderia;vende frutas y verduras;;
134;auditoria;NA;NA;;
447;auxiliar aseo;aseo en hogar;asesora de hogar;9111;91
1293;auxiliar de apoyo;auxiliar de apoyo;cli≠nica;9111;91
35;auxiliar de aseo;NA;NA;9112;91
235;NA;NA;NA;NA;NA
123;auxiliar de aseo;aseo;colegio;9112;91
124;auxiliar de aseo;limpiar pisos, ordenar, etc, barrer;vende productos, supermercados;9112;91
176;auxiliar de aseo;aseo de oficina;servicio de aseo;9112;91
248;auxiliar de aseo;aseo en edificios;aseo;9112;91
252;auxiliar de aseo;aseo en colegio;educacion;9112;91
599;auxiliar de aseo;aseo de oficina;mineri≠a;9112;91
623;auxiliar de aseo;aseo;colegio;9112;91
243;NA;NA;NA;NA;NA
748;auxiliar de aseo;limpiar;oferta medio ambiente;9112;91
815;auxiliar de aseo;hacer aseo;escuela basica;9112;91
897;auxiliar de aseo;hace aseo  en oficina;constructora;9112;91
247;NA;NA;NA;NA;NA
906;auxiliar de aseo;limpiar, barrer;hospital, servicio de urgencias;9112;91
1022;auxiliar de aseo;hacer aseo en hotel;mineri≠a;9112;91
903;auxiliar de casino;aseo;casinos;9112;91
13;auxiliar de easeo;auxiliar de aseo;colegio;9112;91
373;auxiliar de rampa;auxiliar de rampa;aeropuerto;;
449;auxiliar de servicio;mantener ordenado y limpio;jardi≠n infantil;9112;91
621;auxiliar de servicio;auxiliar de aseo;consultorio;9112;91
249;auxsiliar;limpieza;NA;;
469;ayudante albaÒil;preparar mezcla;construccion;9313;93
257;NA;NA;NA;NA;NA
277;ayudante carpinerto;cobstruccion de casa;construccion de casa;;93
527;ayudante carpintero;armar tableros y entregar materiales a los maestros;empresa de mpliacion de carreteras;;93
260;NA;NA;NA;NA;NA
925;ayudante contabilidad;administrativo;funeraria;;43
565;ayudante de albaÒil;reparar viviendas;construccion;9313;93
98;ayudante de cocina;preparar alimentos;cocina;;94
1302;ayudante de cocina;cocinar;eventos;;94
967;ayudante de mecanica;NA;NA;;93
1145;ayudante repartidor de pan;bajar el pan a los negocios;panaderia;;93
144;ayudante sastreri≠a;coser atender;hacer ropa;;93
15;baby sister;cuidado de niÒos;NA;;
757;barrer, regar pasto,limpiar las plazas;limpiar plazas regar pastos;municipalidad de talca;;
1299;batman;preparar tragos;restauran;;
980;bodega;trasporta en palet la metcaderia;supermercado;;
919;bodeguero;bodeguero;empresa de etiquetas;;
1007;bodeguero;entregar frutos;empresa de frutos secos;;
274;NA;NA;NA;NA;NA
1010;bodeguero;entregar mercaderia;libreria;;
1318;bodeguero;bodeguero;entregar productos;;
1271;bombero o extractor de agua en excavaciones;extractor de agua;constructora;;
1143;bordadora;bordar;costuras;;75
723;c8mervio;conercio;venta de mueble;;
1023;cacuno;ayydante de vocina;sodexso;;
137;cajera;cajera;panaderi≠a;;
263;cajera;atencion publico;bancaria;;
359;cajera;cajera;panaderia;;
576;cajera;cobrar en la caja;panaderi≠a;;
285;NA;NA;NA;NA;NA
905;cajera;NA;NA;;
985;cajera;recibido pago;carniceria;;
1195;cajera;recibir pagos;restobar;;
1277;cajera;caja;NA;;
850;cajera de supermercado;atencion al cliente;venta;;
95;cajera en supermercado;cajera;supermercado;;
601;cajera punto copec;cobrar a clientes;combustible;;
770;cajera tur bus;vender pasajes de bus;transporte;;
1369;calle center;telefonico atencion a clientes;NA;;
760;camion de recoleccion de la basura;pioneta;recolecta vasuras;;83
1068;campo;agricola;parcela;;
187;carabineros;resguardo orden pi∫blico;carabineros de chile;;54
298;NA;NA;NA;NA;NA
788;carpinteri≠a;reparacion muebles;NA;;71
300;NA;NA;NA;NA;NA
1015;carpinteria;NA;NA;;71
402;cartero;entrega de correspondencia en hogares y oficinas;NA;;
731;casa particular;asesora de hogar;casa particular;9111;91
1232;casa particular;casa particular;casa particular;9111;91
1308;casa particular;todo los que hacerse de hogar;NA;9111;91
1228;centro estetica;nasaje;NA;;
206;ceramista;ceramista;ceramica;;
553;ceramista;pegar ceramica;construye casas y departamentos;;
1260;cesante antes contruccion;contruccion;NA;;
310;NA;NA;NA;NA;NA
821;chef;cicinar;restaurant;;
312;NA;NA;NA;NA;NA
54;cheff;NA;NA;;
245;chofer;manejar camion recolector;aseo y ornato;;
315;NA;NA;NA;NA;NA
473;chofer;manejar buses;transporte;;
781;chofer;chofer;uber;;
941;chofer;chofer de taxi;NA;;
1017;chofer;chofer;camiones;;
1084;chofer;chofer;transporte de pasajeros;;
1099;chofer;chofer;termoelectrica;;
322;NA;NA;NA;NA;NA
1101;chofer;chofer;colectivo;;
1224;chofer;!anejar;vende gas abastiblw;;
1358;chofer de colectivo;transportar a pasajeros;transporte publico;;
567;chofer de micros;manejar chofer;chofer;;
425;chofer de tractor;manejar;ezportadora de uvas;;
233;chofer y reparto;manejar y repartir producto;lacteos;;
1042;ckases;NA;NA;;
472;cocechaba arandanos;tomaba fruta;trabajos agricolas;;
1037;cocina;hamburguesas;restaurantes;;
269;cocina,colaciones;preparar comida;cocineria;;
83;cocinas;vendee;NA;;
334;NA;NA;NA;NA;NA
878;cocinera de casino minero;prepara los alimentos;NA;;
37;colero en feria libre;vender cachureos;NA;;
813;comedores de un colegio;servir colaciones;atencion de mesas;;
34;comerciante;NA;NA;;
339;NA;NA;NA;NA;NA
113;comerciante;comerciante;comercio;;
341;NA;NA;NA;NA;NA
342;NA;NA;NA;NA;NA
114;comerciante;vender;suplementero;;
171;comerciante;vender abarrotes;comercio;;
345;NA;NA;NA;NA;NA
225;comerciante;vender verduras;comercio;;
304;comerciante;dueÒa;NA;;
348;NA;NA;NA;NA;NA
391;comerciante;peuquera;dueÒa de peluqueria;;
426;comerciante;venta de verduras;comercio;;
514;comerciante;vender abarrotes;comercio;;
352;NA;NA;vendedor;NA;52
560;comerciante;NA;NA;;
354;NA;NA;NA;NA;NA
355;NA;NA;administrativo;;41
356;NA;NA;NA;NA;NA
357;NA;NA;NA;NA;NA
618;comerciante;venta de fierro;local de fierros;;
624;comerciante;vendia dulces;comerciante;;
713;comerciante;vendo psn;cual merciante;;
720;comerciante;venta comida;cual mercio;;
362;NA;NA;NA;NA;NA
363;NA;NA;NA;NA;NA
364;NA;NA;NA;NA;NA
766;comerciante;atender almacen;comercio;;
366;NA;NA;NA;NA;NA
787;comerciante;comerciante;negocio;;
789;comerciante;comerciante;negocio;;
831;comerciante;vendo ropa interior;vendo ropainterior en la feria;;
853;comerciante;comercio;NA;;
371;NA;NA;NA;NA;NA
854;comerciante;vendedor;negocio;;
930;comerciante;cual merciante;local cual mercial;;
1003;comerciante;vender abarrotes;comerciante;;
375;NA;NA;NA;NA;NA
1055;comerciante;NA;NA;;
377;NA;NA;NA;NA;NA
1139;comerciante;vendedor verduras;comercio;;
1242;comerciante;vender abarrotes;comercio;;
1279;comerciante;venddr;mi negocio;;
1284;comerciante;vendedor articulos electronicks;ventas;;
728;comerciante de abarrotes;venta de productos abarrotes;venta de productos para el hogar azi∫car te cafe etc;;
922;comerciante de abarrotes;vendedora abarrotes;NA;;
67;comerciante de confecciones;comerciante;confeccion de ropa;;
482;comerciante establecido;vender en su negocio;negocio,almacen;;
1033;comerciante gastronomi≠a;administracion;gastronomi≠a;;
970;comerciante verduras;feriantes fruta;comercio venta de frutas;;
388;NA;NA;NA;NA;NA
1006;comerciantes;comerciante;dueÒa local comerciante;;
125;comercio;comercio de ropa;comercio ropa;;
196;comercio;minimarket;negocio;;
1120;comercio;ventas;ambulate;;
1343;comercio  en la calle;comercio;NA;;
968;comercio independiente;comercio independiente;comerciante;;
615;comercisnte;vender negocio;mafia nimsrket;;
386;comida al paso;cocinera;comida;;
397;NA;NA;NA;NA;NA
220;conductor;transporte;vasos desechables;;
502;conductor;traslado de personas a trabajadores de la empresa;servicios publicos. es una empresa estatal en donde se trasladan a las personas de un lado a otro servisolial;;
840;conductor;transporte de personal;transporte de pasajeros;;
401;NA;NA;NA;NA;NA
891;conductor;NA;repartir insumos;;
931;conductor;conductor;empresa privado;;
703;conductor ambulancia;trasladi de paciento;esachs;;
305;conductor de ramplay operador de maquinaria;operador de maquinaria pesada;transporta contenedores;;
793;conductor del transantiago;conducir las microa de tranaantiaho;empresa transporte publico;;
407;NA;NA;NA;NA;NA
834;conductor y temporero;traslado de personal y recoleccion de frutas;furgon parti≠culas ,y fundo particular;;92
88;confeccion;confeccionar ropa;confeccionar rops;;
993;conserge;conserge;oficina de seguridad;;
36;conserje;NA;NA;;
412;NA;NA;NA;NA;NA
1046;conserje;conserje de edificio;a conserje;;
414;NA;NA;NA;NA;NA
358;construccion;maestro albaÒil;constructora;;
876;construccion;constrccion;arreglos casa;;
417;NA;NA;NA;NA;NA
1104;construccion;yeso;constructora;;
1127;construccion;carpinteri≠a y albaÒil;constructora;;
1244;construccion;contruir;NA;;
1316;construccion;carpintero;construccion;;
281;construccion de casas;construccion de viviendas;construccion;;
455;construcciones de vivienda;construccion de viviendas;construccion de viviendas;;
420;constructor civil;construccion;construccion;;
149;construir casa;jefe de obra;construir casas;;
92;contabilidad;contabilidad;banco;;33
80;contador;NA;NA;;
428;NA;NA;NA;NA;NA
393;contador;NA;NA;;
1135;contador;contador;eduacion;;
431;NA;NA;NA;NA;NA
432;NA;NA;NA;NA;NA
91;contador auditor;contador auditor;informatica;;
434;NA;NA;NA;NA;NA
1005;contador auditor;calcular impuesyos confeccionar balances;mineri≠a;;
1259;contador auditor;contador;NA;;
437;NA;NA;NA;NA;NA
452;contador general;contador general;contado general;;
767;contadora;contadora, iva, devoluciones etc.;NA;;
440;NA;NA;NA;NA;NA
441;NA;NA;NA;NA;NA
960;contadora;registros de libros;caja,libro diario,libro mayor y balance;;
1283;contralor;NA;NA;;
966;contratista agricola;contratar personas para faenas agricolas;labores agricolas;;61
838;control de calidad de laboratorio;control de terminacion de productos;obras viales;;
102;control de gestion;control de gestion;medio ambiente;;
762;control de proyectos;verificar compromisos para el cliente;medio ambiente;;
28;contruccion;contratista;NA;;
29;contruccion;obrero;contratista empresa;;
30;contruccion;contruccion;NA;;
265;coordinadora;coordinador de logi≠stica;hacen tarjetas de identificacion;;
670;copera;lavando copas;gastronomi≠a;;
242;corredor de propiedades;vender y arrendar propiedades;propiedades;;
454;NA;NA;NA;NA;NA
1152;corredor de propiedades;vender casa o departamento;venta de propiedades;;
283;cortador de carne;carnicero;carniceria;;
207;cortador de vidrios;ajustar y cortar vidrios;vidrieri≠a;;
199;corte y confeccion;hacer ropa;vender y hacer ropa;;
241;cosecha frutas;solo. cosecha;empresa agro fruti≠cola;;
1029;cosecha para los patrones;cosecha y siembra;fundo de patrones;;
77;cosechaba;seleccionar fruta;exportacion;;
85;cosechar fruta;cosechar, distribucion, exportacion;exportacion de fruta;;
463;NA;NA;NA;NA;NA
487;costrucion;construir casas;construccion;;
87;costura;costuras;costuras;;75
89;costura;costura;fabrica de costura;;75
230;costurera;componer y hacer ropa;costuras;;75
331;costurera;coser diferentw tipos de arti≠culos de casa y prendas devestir;particular;;75
790;costurera;confwccion de ropa;confeccionar ropa;;75
910;costurera;hacer costuras;hacer cortinas , manteles;;75
471;NA;NA;NA;NA;NA
933;costurera;arreglo de ropa;en casa;;75
998;costurera;hacer arreglos a la ropa;confeccion;;75
1188;costurera;NA;NA;;75
892;costurera , arreglo de ropa;arreglo de ropa;taller de costura;;75
827;crorredor de propiedades;corredor de propiedades;corretaje;;
947;csllcener;atencion de clientes;callcebter serivico;;
583;cual nstruccion;panguero;hacer mesclas;;
368;cuida a sus nietos;cuida a sus nietos;casa particular;;
584;cuida niÒos;NA;NA;;
880;cuida niÒos;cuidar niÒos;casa particular;;
413;cuida piscicultura;cuidar piscicultura;crianza de salmones;;
530;cuidado de enfermos adulto mayor;cuidar adulto mayor;casa particular;;
126;cuidado de niÒos;NA;NA;;
485;NA;NA;NA;NA;NA
486;NA;NA;NA;NA;NA
111;cuidado de su hijo enfermo tiempo completo;dueÒa de casa;actualmente no trabaja;;
902;cuidado. niÒos;cudar niÒos;particular;;
700;cuidador de casa particumiar;realizar lanorea de mantencion n casa;NA;9111;91
490;NA;NA;NA;NA;NA
491;NA;NA;NA;NA;NA
438;cuidador parcela;cuidar cortar pasto;parcela de agrado;;
685;cuidadora de adulto mayor;cuidar adultos mayores discapacitados;trabajaba en forma independiente;;
278;cuidadora de ancianos;darle alimento medicina;local de comida;;
544;cuidadora de gente mayor y niÒos;cuidar;casas particular;;
427;cuidadora de parcela;cuidadora de parcela;casa particular;;
168;cuidadora estudiantes;vigilar estudiantes;educacion;;
1186;cuidadoras de niÒos;cuidar alimentar y educar a niÒos;NA;;
499;NA;NA;NA;NA;NA
500;NA;NA;NA;NA;NA
154;cuidados adultos mayores;cuidar al adulto;casa particular;;
349;cuidando enfermo;cuidar enfermo;casa particular;;
503;NA;NA;NA;NA;NA
350;cuidar a enfermos;acompaÒarlos, cuidarlos.;es una familia;;
361;cuidar adultos mayores;cuidado adulto mayor;hogar de anciano;;
313;cuidar adultos mayores postrafos;NA;NA;;
507;NA;NA;NA;NA;NA
464;cuidar niÒos;cuidar niÒos;casa particular;;
509;NA;NA;NA;NA;NA
547;cuidar niÒos;cuidar niÒos;en casa particular;;
129;cuidar una persona dd la tercera edad;cuidado adulto mayor;casa particular;;
512;NA;NA;NA;NA;NA
991;cuidar y barrer parques y jardines;regar y barrer plazas;municipalidad;;
1004;cyidadora de niÒos;cuidar niÒos;independiente;;
515;NA;NA;NA;NA;NA
516;NA;NA;NA;NA;NA
1034;despachador de camiones;verificar antecedentes del camion;aseo y transporte;;
550;dietetica;atender alimentacion de pacientes en clinica;alimentacion;;
519;NA;NA;NA;NA;NA
520;NA;NA;NA;NA;NA
205;digitador;digital pedidos;enmieda;;
522;NA;NA;NA;NA;NA
564;digitador;digitar;digitar;;
524;NA;NA;NA;NA;NA
525;NA;NA;NA;NA;NA
1264;director de colegio;administrar dirigir en un colegio que tenia 3400 alumnos;colegio;;
653;director de escuela;diriguir escuela y hacer clases;educacion;;
1057;dirigir personal;NA;NA;;
529;NA;NA;NA;NA;NA
893;distribucion de gas;encargado de gas;trabajador de distribucion de gas;;
1173;distribuidora de alimentos;vender;alimentacion;;
861;docente;enseÒanza alumnos adultos;educacion;;
1170;docente;docente;docente;;
654;docente de aula;enseÒar, instruir, corregir, moldear;educar;;
849;doctor;doctor;medicina;;
867;duena de negocio;duena de minimarket;NA;;
410;dueÒa de almacen;vendedora y dueÒa almacen;almacen;;
538;NA;NA;NA;NA;NA
539;NA;NA;NA;NA;NA
327;dueÒa de almacen y botilleria;vender;almacen y botilleria;;
541;NA;NA;NA;NA;NA
934;dueÒa de casa;quehasesres domestico s;NA;;
932;dueÒa de negocio;atender clientes;almacen;;
290;dueÒa de un restaurante;administrativo  de su local ver la contabilidad  y atencion  a clientes;ventas de comida;;
326;dueÒa y vendedora de almacen;vender en su almacen;almacen;;
924;dueÒo de local;venta repuesros;local bicicleta;;
127;duoervisar caja7;superviviom;ver caja;;
1040;duseÒadora;NA;NA;;
147;educadora de parvulo;educacion;volegio el regugio;;
812;educadora de parvulo;cuidar niÒos;educar niÒos y valores cristiano;;
53;educadora de parvulos;ver niÒos;ver niÒos y niÒas, organizar el dia;;
552;NA;NA;NA;NA;NA
494;educadora de parvulos;realizar actividades pedagogicas;educacion;;
554;NA;NA;NA;NA;NA
1100;educadora de parvulos;educar;colegio educacion;;
556;NA;NA;NA;NA;NA
816;educadora diferencial;educar;escuela;;
406;ejecuraba y ordenaba pagos clientes al banco estafas trazferencias mal echas;banco;NA;;
559;NA;NA;NA;NA;NA
957;ejecutiva bancaria;ejecutiva bancaria;ejecutiva bancaria;;
561;NA;NA;NA;NA;NA
1082;ejecutiva cuenta;llevar la cartera clientes;financiera;;
513;ejecutivo de ventas;venta de telefonia;venta telefonia movistar;;
1245;ejecutivo de ventas;ventas;vemtas;;
489;ejecutivo ventas autos;vendedor;NA;;
937;electricista;intalacin de luz;costructoras;;
117;electronica;reparacion de equipos electronicos;NA;;
